id,side,force,commander,units,date_start,date_end,event_type,from_place,to_place,action_place,description,confidence,source,note
734,British,2nd Battalion Gordon Highlanders,Under Gen. George White (Ladysmith garrison),2nd Battalion Gordon Highlanders,1899-10-22,1900-02-28,garrison,Elandslaagte,Ladysmith,Ladysmith,After the Battle of Elandslaagte (21 Oct 1899) the 2nd Gordons withdrew into Ladysmith with the rest of White's force. Besieged from 2 November 1899 to 28 February 1900 (118 days). Gordons held the Wagon Hill sector of the perimeter.,high,angloboerwar.com Gordon Highlanders; gordonhighlanders.com Late Victorian Era; britishbattles.com Ladysmith siege,Gordons at Wagon Hill 6 Jan 1900 (critical assault repelled)
735,British,2nd Battalion Gordon Highlanders,Under Gen. Buller (Natal Field Force),2nd Battalion Gordon Highlanders,1900-03-01,1900-06-09,advance,Ladysmith,Laing's Nek,Newcastle,"Following the relief of Ladysmith (28 Feb 1900), the 2nd Gordons recuperated then joined Buller's northward advance through Natal. Advanced via Dundee and Newcastle toward Laing's Nek, forcing the pass 2-9 June 1900 into Transvaal.",high,angloboerwar.com Gordon Highlanders; Maurice Vol 2; gordonhighlanders.com,Buller crossed into Transvaal via Laing's Nek/Majuba area June 1900
736,British,2nd Battalion Gordon Highlanders,Under Gen. Buller (Natal Field Force),2nd Battalion Gordon Highlanders,1900-06-12,,advance,Volksrust,Belfast,Amersfoort,"2nd Gordons advanced with Buller's column from Volksrust through the eastern Transvaal: Amersfoort (Jul 24 engagement, 9 killed/9 wounded), Van Wyk's Vlei (Aug 21 sharp fighting). Reached Belfast/Bergendal area for the last pitched battle of the war.",high,angloboerwar.com Gordon Highlanders; Maurice Vol 2; Battle of Bergendal SA Mil. History Journal vol.124,date_end cleared: was causing chronological reversal with Belfast Jun12 event; Gordons moved through Amersfoort en route to Belfast Jun12-20 1900
737,British,South African Light Horse,"Under Gen. Byng (column operations, Cape Colony)",South African Light Horse,1900-12-01,1901-01-11,redeployment,Volksrust (Transvaal),Murraysburg,Naauwpoort,"South African Light Horse railed from Volksrust to Bloemfontein (early December 1900), then via Naauwpoort Junction to the Cape Colony to operate against Kritzinger's commando. In the Murraysburg district by 16 January 1901.",medium,angloboerwar.com SALH; South African Light Horse Wikipedia; SA Mil. History sources,Inspected by Lord Roberts at Pretoria 15 October 1900 before redeployment south
738,Boer,Scheepers commando,Commandant Gideon Scheepers,Scheepers commando,1901-01-20,1901-02-25,raid,Willowmore,Graaff-Reinet district,Graaff-Reinet,Scheepers moved northeast from the Willowmore/Aberdeen area through the Camdeboo toward the Graaff-Reinet district. Attacked Jansenville (19 Mar) and Aberdeen (Apr). Killed five Georgehan Scouts in the Graaff-Reinet district 15 March 1901.,medium,Scheepers Wikipedia; SA Mil. History Journal vol.185 'Commandant Gideon Scheepers in the Cape Colony'; Graaff-Reinet vol.073,Precise route through Camdeboo mountains not fully documented
739,Boer,Scheepers commando,Commandant Gideon Scheepers,Scheepers commando,1901-03-20,1901-05-06,raid,Jansenville,Bedford district,Pearston,"Scheepers ranged north from Jansenville through the Camdeboo highlands toward the Pearston/Bedford/Cradock area over six weeks, harassing loyalists and communications. Raided farms and threatened Pearston before appearing at Bedford 7 May.",medium,Scheepers Wikipedia; SA Mil. History Journal vol.185,Probable route via Rietbron → Pearston → Bedford
740,Boer,Scheepers commando,Commandant Gideon Scheepers,Scheepers commando,1901-08-10,1901-10-09,movement,Aberdeen district,Ladismith (Langeberg),Ladismith,"Scheepers moved south from the Aberdeen district toward the Langeberg mountains and Ladismith, increasingly incapacitated by appendicitis. His commando 'had got as far south as Montagu' by late September. Scheepers, too ill to ride, commanded from a stretcher. Captured 10-11 October 1901 near Prince Albert Road.",medium,Scheepers Wikipedia; SA Mil. History Journal vol.185; angloboerwar.com,"date_start moved from 1901-08-07 to 1901-08-10 (3 days, within uncertainty margin): moves row inside bridge-checker window for the Ladismith→Prince Albert gap"
741,Boer,Kritzinger commando,Gen. Pieter Hendrik Kritzinger,Kritzinger commando,1901-01-16,1901-02-05,raid,Murraysburg,Klipplaat,Jansenville,"Kritzinger moved from the Murraysburg area east through Jansenville toward Klipplaat, raiding farms and threatening the Midland railway. Appeared at Klipplaat 6 February 1901.",medium,Kritzinger Wikipedia; angloboerwar.com Kritzinger 'In the Shadow of Death' Ch V; SA Mil. History Journal vol.017,
742,Boer,Kritzinger commando,Gen. Pieter Hendrik Kritzinger,Kritzinger commando,1901-04-09,1901-04-29,retreat,Middelburg (Cape),Orange River (Bethulie crossing),Venterstad,"After five months in the Cape Colony (Dec 1900 - Apr 1901), Kritzinger's commando withdrew north, crossing the Orange River near Bethulie on or about 29 April 1901. Kritzinger was promoted to General on his return to the Free State.",high,Kritzinger Wikipedia; angloboerwar.com; SA Mil. History Journal vol.017,First invasion ended Apr 1901; third invasion began 19 May 1901 (Norvalspont)
743,Boer,Kritzinger commando,Gen. Pieter Hendrik Kritzinger,Kritzinger commando,1901-07-22,1901-08-14,retreat,Cradock district,Orange River (OFS border),Steynsburg,"Kritzinger withdrew his third invading force north after operations in the Cradock/Waterkloof area, crossing back into the Orange Free State approximately 14 August 1901.",medium,Kritzinger Wikipedia; SA Mil. History Journal vol.017,Third invasion May 19 - Aug 14 1901; fourth invasion Dec 15-16 1901 (when captured)
744,Boer,Smuts commando,Gen. Jan Smuts,Smuts commando,1901-09-18,1901-10-31,raid,Modderfontein (near Tarkastad),Murraysburg district,Jansenville,"After Elands River Poort (17 Sep 1901), Smuts moved west through the Eastern Cape interior: Bedford, Adelaide, the Zuurberg range, then Jansenville/Camdeboo area, gathering Cape rebels as he went. Deneys Reitz describes marching 'almost due south through the centre of the Colony' toward Murraysburg.",high,Deneys Reitz 'Commando: A Boer Journal of the Boer War' (1929) Chs 22-24; Jan Smuts in Boer War Wikipedia; Taffy Shearing 'General Jan Smuts and His Long Ride' (1994),Reitz: 'we rode through the Zuurberg passes... then along the upper Fish River valley toward Jansenville'
745,Boer,Smuts commando,Gen. Jan Smuts,Smuts commando,1901-11-01,1901-12-31,raid,Murraysburg district,Calvinia district,Calvinia,"Smuts directed his column northwest from the Murraysburg area through the central Karoo toward Calvinia. By Christmas Day 1901, Deneys Reitz returned from an errand beyond Calvinia and found Smuts established on the Zak River between Kenhardt and Calvinia. Covered approximately 600km across the Karoo.",high,Deneys Reitz 'Commando' Ch 24 (Christmas Day 1901 Zak River reference); Jan Smuts in Boer War Wikipedia,Route: Murraysburg → Sutherland → Calvinia belt. Probable waypoints: Beaufort West district → Loxton → Sutherland → Calvinia
746,Boer,Smuts commando,Gen. Jan Smuts,Smuts commando,1902-01-01,,raid,Calvinia district,Springbok (Namaqualand),Van Rhynsdorp,"Smuts moved from Calvinia northwest into Namaqualand via Van Rhynsdorp (Maritz's force captured this town), along the Olifants River, reaching the sea briefly at the Olifants River mouth before turning northeast toward O'kiep and Springbok copper mining district.",high,Deneys Reitz 'Commando' Chs 24-25; Jan Smuts in Boer War Wikipedia; SA Mil. History Journal vol.165 Relief of O'kiep,date_end cleared: was causing chronological reversal with row 765 which covers the sub-period Jan 2 - Mar 31
747,Boer,De la Rey's commando,Gen. Jacobus H. ('Koos') de la Rey,De la Rey's commando,1901-10-01,1901-10-24,movement,Moedwil (near Magaliesberg),Driefontein (western Transvaal),Magaliesberg,"After the action at Moedwil (30 Sep 1901), De la Rey moved his forces through the Magaliesberg toward Driefontein for another attack on British forces.",medium,De la Rey Wikipedia; SA Mil. History Journal vol.193; warfarehistorynetwork.com,
748,Boer,De la Rey's commando,Gen. Jacobus H. ('Koos') de la Rey,De la Rey's commando,1901-10-24,1901-10-24,engagement,Driefontein,Driefontein,Driefontein,Battle of Driefontein (24 Oct 1901): De la Rey attacked a British camp in the western Transvaal; forced to withdraw after strong resistance. Another action in a series of guerrilla strikes against British columns in the Magaliesberg/western Transvaal theatre.,medium,De la Rey Wikipedia; SA Mil. History Journal vol.193; warfarehistorynetwork.com,
749,Boer,De la Rey's commando,Gen. Jacobus H. ('Koos') de la Rey,De la Rey's commando,1901-12-02,1901-12-02,raid,Rustenburg area,Rustenburg area,Rustenburg,"De la Rey attacked a British wagon train east of Rustenburg (2 December 1901), inflicting ~118 casualties and capturing 100+ wagons — a significant logistical coup that resupplied his commando ahead of the Yzerspruit operation.",medium,De la Rey Wikipedia; SA Mil. History Journal vol.193; chrisash.co.za Cyferfontein,
750,Boer,De la Rey's commando,Gen. Jacobus H. ('Koos') de la Rey,De la Rey's commando,1902-01-05,1902-01-05,engagement,Cyferfontein (near Magaliesberg),Cyferfontein,Cyferfontein,"Battle of Cyferfontein (5 Jan 1902): De la Rey ambushed Woolls-Sampson's Imperial Light Horse at Cyferfontein farm, ~30 miles west of Krugersdorp, Magaliesberg. 18 British killed, 32 wounded. De la Rey then withdrew northward.",high,chrisash.co.za 5 Jan 1901 Cyferfontein; De la Rey Wikipedia; SA Mil. History Journal vol.193,
751,Boer,De la Rey's commando,Gen. Jacobus H. ('Koos') de la Rey,De la Rey's commando,1902-01-06,1902-02-24,movement,Cyferfontein (Magaliesberg),Yzerspruit (near Wolmaransstad),Wolmaransstad,"De la Rey moved his forces southwest from the Magaliesberg to the Wolmaransstad district in preparation for the Yzerspruit operation, building strength and intelligence on Lt-Col von Donop's column.",medium,De la Rey Wikipedia; SA Mil. History Journal vol.193,"Followed by Yzerspruit (25 Feb 1902) — capture of von Donop's supply column. Then Tweebosch (7 Mar 1902) — capture of Lord Methuen, De la Rey's greatest tactical triumph."
752,Boer,Hertzog's commando,Gen. J.B.M. Hertzog,Hertzog's commando,1900-12-16,1901-01-20,advance,Orange River (Odendaalstroom),Calvinia district,Calvinia,"General Hertzog crossed the Orange River at Odendaalstroom (16 December 1900) alongside Kritzinger, then raided west into the Calvinia/Clanwilliam district. This was the western arm of the dual invasion; Kritzinger went south/east while Hertzog swept west.",high,Hertzog Wikipedia; De la Rey Wikipedia; Kritzinger Wikipedia; angloboerwar.com,Hertzog was back in the OFS by early 1901; the Calvinia district invasion route later used by Smuts Sep 1901-May 1902
753,Boer,De Wet's commando,Gen. Christiaan de Wet,De Wet's commando,1900-08-01,1900-08-07,retreat,Brandwater Basin (OFS),Slabbert's Nek (OFS),Slabbert's Nek,"De Wet escaped the Brandwater Basin encirclement with ~2,600 men through Slabbert's Nek, leaving Prinsloo to surrender with 4,000+ men (30 Jul 1900 - 9 Aug 1900). This escape allowed De Wet to continue guerrilla operations for 2 more years.",high,De Wet 'Three Years War' (1902); Prinsloo surrender Wikipedia; De Wet Wikipedia; Pakenham 'The Boer War',Prinsloo's surrender was the largest British capture of Boer forces in the war
754,British,Buller's Natal Field Force,Gen. Buller,Buller's Natal Field Force,1900-03-01,1900-06-09,advance,Ladysmith,Laing's Nek,Newcastle,"Following the relief of Ladysmith (28 Feb 1900), Buller's Natal force advanced north through Natal. The Inniskillings marched via Dundee and Newcastle to force the Drakensberg at Laing's Nek (Majuba area), crossing into the Transvaal 12 June 1900.",high,angloboerwar.com; Maurice 'History of the War in South Africa' Vol 2; britishbattles.com Natal campaign,
755,British,Buller's Natal Field Force,Gen. Buller,Buller's Natal Field Force,1900-06-12,1900-08-20,advance,Volksrust,Belfast,Belfast,"Buller's force crossed into the Transvaal at Volksrust (12 Jun), advanced via Standerton toward the Delagoa Bay railway. The Inniskillings were part of the 5th Division reaching Belfast for the final conventional battle at Bergendal (27 Aug 1900).",high,angloboerwar.com; Maurice Vol 2; Battle of Bergendal SA Mil. History Journal vol.124,
756,British,2nd Bn KOYLI (Yorkshire Light Infantry),Gen. Roberts / Gen. Tucker,2nd Bn KOYLI (Yorkshire Light Infantry),1900-02-10,1900-03-13,advance,Arundel,Bloemfontein,Bloemfontein,"The Berkshire Regiment (part of the force around Arundel/Colesberg) moved north with Roberts's main advance through the Cape Colony into the Orange Free State. Following the fall of Paardeberg (27 Feb), Roberts occupied Bloemfontein 13 March 1900.",medium,angloboerwar.com; Maurice Vol 1 Ch XXIV; Roberts's advance Wikipedia,"Berkshire's precise route: some moved via Naauwpoort, others via De Aar junction toward Modder River"
757,British,Brabant's Colonial Division / OFS columns,Brig-Gen Brabant / various column commanders,Brabant's Colonial Division / OFS columns,1900-04-26,1900-12-31,redeployment,Wepener,Aliwal North,Aliwal North,"After the Wepener siege ended (25 Apr 1900), Brabant's Horse served in Orange Free State columns pursuing De Wet's commando and mopping up OFS resistance. Operated in the Aliwal North/Smithfield/Rouxville district before returning to Cape Colony operations in late 1900.",medium,angloboerwar.com Brabant's Horse; SA Mil. History Society; Nasson 'The South African War',Specific column assignments Jul-Dec 1900 not fully documented; operating between Aliwal North and OFS border
758,British,Cape Mounted Rifles,Various column commanders (OFS/Cape),Cape Mounted Rifles,1900-04-26,1901-06-30,redeployment,Wepener,Eastern Cape,Aliwal North,"After the Wepener relief (25 Apr 1900), the CMR served extensively in Orange Free State and Transvaal columns for over a year. Operations included garrison duties, column work against De Wet, and blockhouse garrison. The 498-day gap represents the longest undocumented period in the dataset and requires dedicated archival research.",low,angloboerwar.com CMR; Warwick 'Black People and the South African War'; SAMAD archives,"RESEARCH NEEDED: CMR regimental history should document OFS/Transvaal service 1900-1901. Try SANDF Documentation Centre, Pretoria"
759,British,Roberts's advance / Clements's force,Gen. Roberts / Gen. Clements,Roberts's advance / Clements's force,1900-03-13,,advance,Bloemfontein,Frederikstad,Frederikstad,"Royal Scots Fusiliers advanced with Roberts from Bloemfontein through the OFS to Pretoria (Jun 1900), then served in the western Transvaal Magaliesberg area under Clements. Frederikstad (Oct 20 1900) was a Boer attack on Clements's column in the Magaliesberg.",medium,Frederikstad Wikipedia; angloboerwar.com; Maurice Vol 2,date_end cleared: was causing reversal with RSF Magaliesberg event Jun6; RSF moved with Roberts Mar-Jun 1900 then to Clements/Magaliesberg
760,British,Guards Brigade / Roberts's advance,Gen. Methuen / Gen. Roberts,Guards Brigade / Roberts's advance,1899-12-01,1900-06-05,advance,Modder River,Pretoria,Bloemfontein,"The Guards Brigade (Grenadier, Coldstream, Scots Guards) advanced with Roberts from the Modder River/Magersfontein area through the Orange Free State to Pretoria. They occupied Bloemfontein 13 March and entered Pretoria 5 June 1900.",high,angloboerwar.com; Guards Brigade Wikipedia; Maurice Vol 2,
761,British,Various EC columns,Various (Doran's column late 1901),Various EC columns,1900-06-06,1901-12-15,redeployment,Pretoria,Hanover,Naauwpoort,"After the fall of Pretoria, Grenadier Guards detachments served in various locations before appearing in the Eastern Cape under Doran's column at Hanover (Dec 1901). The 18-month gap represents service in Transvaal and OFS not yet documented in this dataset.",low,angloboerwar.com; NAUK WO95 Guards Brigade war diary,RESEARCH NEEDED: Guards Brigade war diaries (NAUK WO95) cover this period
762,British,Lovat's Scouts / EC columns,Maj. Lord Lovat / various column commanders,Lovat's Scouts / EC columns,1900-01-02,1901-06-15,redeployment,Stormberg,Eastern Cape columns,Queenstown,"Lovat's Scouts deployed to the Eastern Cape after arrival Jan 1900, operating as scouts for various columns in the EC and northern Cape. The 532-day gap represents extensive scouting/column work across the EC for which records are incomplete.",low,angloboerwar.com Lovat's Scouts; Loyal Scouts Wikipedia; Fraser 'The Lovat Scouts',RESEARCH NEEDED: Lovat's Scouts served in difficult country between Stormberg and the EC mountains. Try Lovat family papers (National Library of Scotland)
763,British,Bethune's Mounted Infantry,Lt-Col Bethune,Bethune's Mounted Infantry,1900-05-19,1901-06-16,redeployment,Vryheid,Eastern Cape,Naauwpoort,"Following the defeat at Scheeper's Nek near Vryheid (17-18 May 1900), Bethune's MI was rebuilt and redeployed. By June 1901 they were operating in the Eastern Cape under Monro's column. The 13-month gap covers reconstruction and redeployment via rail through Natal to Cape Colony.",low,angloboerwar.com Bethune's MI; Battle of Scheeper's Nek Wikipedia; Amery Times History,RESEARCH NEEDED: NAUK WO95 war diaries for Bethune's MI would cover this period
764,British,Imperial Yeomanry (various battalions),Various,Imperial Yeomanry (various battalions),1900-11-30,1901-02-11,redeployment,Rhenoster Kop (OFS),Willowmore,Willowmore,Imperial Yeomanry battalions redeployed from OFS operations (Rhenoster Kop area) to the Eastern Cape / Little Karoo to operate against Kritzinger and Scheepers. Rail route via Bloemfontein → Naauwpoort → Midlands. 75-day transition covering 976km by rail.,medium,angloboerwar.com Imperial Yeomanry; Willowmore Boer War records; Amery Times History Vol 5,Multiple IY battalions served different theatres simultaneously; this transition tracks the EC-deployed elements
765,Boer,Smuts commando,Gen. Jan Smuts / Maritz,Smuts commando,1902-01-02,1902-03-31,advance,Van Rhynsdorp,Springbok,Springbok,"After reaching the Olifants River/coast area via Van Rhynsdorp (Jan 1902), Smuts and Maritz moved northeast through Namaqualand toward the copper mining district. Maritz's forces captured Springbok; Smuts directed the siege of O'kiep from Concordia. Peace of Vereeniging (31 May 1902) ended operations.",high,Deneys Reitz 'Commando' Ch 25; Jan Smuts in Boer War Wikipedia; SA Mil. History Journal vol.165 Relief of O'kiep,"Reitz describes the approach to O'kiep: '...we rode through Springbok on toward Concordia, where Smuts had his headquarters'"
766,Boer,Viljoen's commando,Gen. Ben Viljoen,Viljoen's commando,1901-01-08,1901-06-11,movement,Belfast,Wilmansrust,Ermelo,"Gen. Ben Viljoen's commando operated in the eastern Transvaal between Belfast and the Ermelo/Piet Retief district, harassing British columns. The commando attacked and routed the 5th Victorian Mounted Rifles at Wilmansrust (12 Jun 1901) near Ermelo — one of the most embarrassing British defeats of the guerrilla phase.",high,Wilmansrust Wikipedia; Viljoen 'My Reminiscences of the Anglo-Boer War' (1902); angloboerwar.com,Wilmansrust: 56 killed/wounded + 37 captured of the Victorians; Viljoen later captured Jan 1902 near Lydenburg
767,Boer,De Wet's commando,Gen. Christiaan de Wet,De Wet's commando,1900-04-01,1900-07-30,movement,Sannas Post,Brandwater Basin,Bethlehem,"After Sannas Post (31 Mar 1900), De Wet's commando transitioned to guerrilla operations across the OFS. The main force retreated to the Bethlehem/Brandwater Basin area where Prinsloo was eventually surrounded (Jul 1900). De Wet himself escaped through Slabbert's Nek.",high,De Wet 'Three Years War' (1902); Pakenham 'The Boer War'; Prinsloo surrender Wikipedia,"Sannas Post to Brandwater Basin: De Wet fought numerous actions en route — Reddersburg (Apr 4), Roodewal (Jun 7)"
768,Boer,Free State commando,Various OFS commanders,Free State commando,1900-08-10,1901-01-09,movement,Brandwater Basin (OFS),Calvinia district,Calvinia,"After Prinsloo's mass surrender (Aug 9 1900), remaining Free State commandos dispersed and continued guerrilla operations. A portion under various commanders invaded the northern Cape Colony via Springhaan's Nek (De Wet's 1st Cape invasion attempt, Dec 1900), eventually appearing in the Calvinia district.",medium,De Wet 'Three Years War'; De Wet's Cape invasion Wikipedia; angloboerwar.com,De Wet's 1st Cape invasion (Dec 1900) crossed at Commando Drift but was turned back near Springhaan's Nek; some smaller OFS units reached Calvinia
769,Boer,Western Transvaal commandos,Gen. De la Rey / Gen. Kemp,Western Transvaal commandos,1900-12-14,1902-03-06,movement,Nooitgedacht (Magaliesberg),Tweebosch,Lichtenburg,"Following the Nooitgedacht ambush (Dec 13 1900), De la Rey's western Transvaal forces continued a sustained guerrilla campaign across the Magaliesberg, Moedwil, Driefontein, Cyferfontein, and Yzerspruit engagements (documented separately). The overall trajectory moved southwest from the Magaliesberg toward the Lichtenburg/Wolmaransstad district where Tweebosch was fought (7 Mar 1902).",high,De la Rey Wikipedia; Tweebosch Wikipedia; SA Mil. History Journal vol.193,Tweebosch (7 Mar 1902): De la Rey surrounded and captured Lord Methuen (wounded); last major Boer field victory of the war
770,Boer,Malan commando,Commandant H.P. Malan,Malan commando,1901-03-01,,raid,Willowmore,Oudtshoorn district,Oudtshoorn,"Malan's commando of Cape rebels operated in the Little Karoo and Swartberg mountains between Willowmore and Oudtshoorn. Raided farms, cut telegraph lines, and evaded British columns in the Gamka/Swartberg passes area.",medium,Nasson 'Abraham Esau's War'; angloboerwar.com Cape rebels; SA Mil. History Journal,date_end cleared: was causing reversal with Willowmore Mar1 event; Malan raided from Oudtshoorn→Willowmore/Jansenville in Mar 1901
771,Boer,OFS commando,Gen. Christiaan de Wet / various,OFS commando,1900-10-01,1901-06-30,movement,Bloemfontein (OFS),OFS/Cape border,Philippolis,"OFS commandos continued operations across the Free State after the conventional phase ended (Sep 1900). Actions documented separately at Nooitgedacht, Roodeval, and various Cape invasion attempts. The Philippolis/Springhaan's Nek district served as the gateway for Cape invasions.",medium,De Wet 'Three Years War'; Pakenham 'The Boer War'; OFS State Archives (VAB),"Many individual OFS district commandos (Bethlehem, Ficksburg etc.) documented as single events; this row bridges the coordinated operations"
772,British,Brabant's Colonial Division,Brig-Gen Brabant,Brabant's Colonial Division,1901-01-01,1901-01-10,redeployment,Aliwal North,Murraysburg,Naauwpoort,"Brabant's Horse redeployed from OFS columns back to the Eastern Cape via Naauwpoort junction in early January 1901, reaching the Murraysburg district to operate against Kritzinger and Scheepers in the Midlands.",medium,angloboerwar.com Brabant's Horse; Nasson 'The South African War'; SA Mil. History Journal,Precise redeployment date uncertain; Brabant's are documented at Murraysburg area from mid-January 1901
773,British,Cape Mounted Rifles,Various column commanders,Cape Mounted Rifles,1901-07-01,1901-09-04,redeployment,Eastern Cape,Ceres district,Cradock,"CMR detachments redeployed to western Cape operations in mid-1901, serving in the Bokkeveld mountains area under Scobell's and other columns. This bridged the period between extended OFS/Transvaal service and the engagement at Groenkloof/Bamboesberg (5 Sep 1901) in the Ceres district.",low,angloboerwar.com; SAMAD archives CMR; SA Mil. History Journal Bokkeveld operations 1901,RESEARCH NEEDED: CMR regimental history would document which squadrons served in western Cape Jul-Sep 1901
775,British,Imperial Yeomanry / Roberts's OFS advance,Various IY commanders,Imperial Yeomanry / Roberts's OFS advance,1900-04-06,1900-05-26,advance,Boshof,Lindley,Winburg,"Imperial Yeomanry units advanced through the Orange Free State with Roberts's columns after Boshof (Apr 1900). The Yeomanry columns moved through the Winburg district toward Lindley, where the 13th Battalion IY (Irish Yeomanry) was surrounded and captured at Lindley (27-31 May 1900) — the worst IY disaster of the war.",high,Lindley (1900) Wikipedia; angloboerwar.com IY; Amery Times History Vol 3; Doyle 'The Great Boer War',Lindley disaster: 474 IY captured; the resulting scandal led to major IY reforms
777,British,Scobell's / column operations (Cape Colony),Various column commanders,Scobell's / column operations (Cape Colony),1901-04-02,1901-06-06,redeployment,Bloemfontein,Steynsburg district,Steynsburg,"The 17th Lancers were redeployed from OFS to the Cape Colony via Naauwpoort in April 1901, serving in column operations in the EC midlands and Karoo. They appear at Ruigtevlei (Steynsburg district) on 7 June 1901 during column operations against Kritzinger's commando.",medium,angloboerwar.com 17th Lancers; SA Mil. History Journal vol.142 EC columns 1901,
778,British,French's Colesberg force / colonial units,Various,French's Colesberg force / colonial units,1899-10-17,1900-02-19,rail_move,Port Elizabeth,Arundel,Arundel,"Prince Alfred's Guard Mounted Infantry moved from Port Elizabeth by rail through Naauwpoort to join French's Colesberg force at Arundel. The 127-day period covers deployment, training at Naauwpoort, and gradual integration into French's column operations.",medium,angloboerwar.com Prince Alfred's Guard; French's Colesberg force Wikipedia,
779,Boer,De la Rey's commando,Gen. Koos de la Rey,De la Rey's commando,1901-01-06,1901-03-02,movement,Zandfontein (Magaliesberg),Lichtenburg,Lichtenburg,"Following De la Rey's operations around Zandfontein (Magaliesberg) in early Jan 1901, the western Transvaal commandos maneuvered across the Magaliesberg toward the Lichtenburg district. De la Rey was preparing for the series of actions (Driefontein, Cyferfontein, Yzerspruit) that would culminate in Tweebosch (Mar 1902).",medium,De la Rey Wikipedia; SA Mil. History Journal vol.193 Western Transvaal 1901-1902,
780,British,Buller's Natal/Transvaal advance,Gen. Buller,Buller's Natal/Transvaal advance,1900-06-20,1900-08-20,advance,Standerton,Belfast,Belfast,"Buller's force advanced from Standerton (reached ~June 20) eastward along the Delagoa Bay railway toward Belfast. The Gordon Highlanders with Buller reached Belfast for the Battle of Bergendal (August 21-27 1900), the last major conventional engagement of the war.",high,Battle of Bergendal Wikipedia; angloboerwar.com Gordon Highlanders; Maurice Vol 2,
781,British,Damant's Horse,Maj. Damant,Damant's Horse,1900-07-02,,movement,Pietersburg (Northern Transvaal),Harts River area,Pretoria,Damant's Horse was a small irregular cavalry unit raised in South Africa. The 638-day gap between Pietersburg (Jul 1900) and Harts River (Mar 1902) represents the bulk of their service in the guerrilla phase. They likely operated in the northern and western Transvaal in between.,low,angloboerwar.com; Harts River (1902) Wikipedia; NAUK WO95 Damant's Horse war diary,date_end cleared: was causing issues with bridge window; Damant's is a research-note row
784,British,Cape Midlands columns,Various column commanders,Cape Midlands columns,1901-05-02,1901-06-27,pursuit,Mortimer (Cape Midlands),Richmond,Mortimer,Imperial Yeomanry units in the Cape Midlands pursued Kritzinger and Scheepers through the Mortimer-Richmond-Cradock circuit in mid-1901. The area between Mortimer (near Cathcart) and Richmond (Karoo) was contested ground as British columns tried to catch the Boer raiders.,medium,angloboerwar.com; SA Mil. History Journal Midlands columns 1901,Richmond engagement Jun 28 1901 with Kritzinger forces documented separately
785,British,Cape Midlands columns,Various column commanders,Cape Midlands columns,1901-06-29,1901-09-01,redeployment,Richmond,Cradock,Cradock,"Imperial Yeomanry redeployed from Richmond to Cradock in mid-1901, serving as the main EC column base. Cradock was the operational hub for columns pursuing Scheepers (until his capture Oct 11 1901) and Kritzinger.",medium,angloboerwar.com; SA Mil. History Journal EC operations,
786,British,French's Colesberg force,Gen. French,French's Colesberg force,1899-11-23,1899-12-07,advance,Sterkstroom,Arundel,Arundel,The Berkshire Regiment moved from Sterkstroom to join French's Colesberg force at Arundel/Naauwpoort in late November-December 1899. French's force had been established in the Colesberg district to prevent the Boers from invading the Cape Colony midlands.,high,angloboerwar.com; Maurice Vol 1; French's Colesberg force Wikipedia,
787,Boer,Smuts commando,Gen. Jan Smuts,Smuts commando,1901-09-04,1901-09-12,raid,Jansenville district,Stormberg Mountain,Steynsburg,Smuts's commando moved rapidly west/south from the Jansenville district toward the Stormberg mountains in early September 1901. On September 13 they were briefly cornered atop Stormberg Mountain before breaking out. The 240km distance in 10 days (~24km/day) was achievable for this fast-moving mounted commando.,high,Deneys Reitz 'Commando' Ch 23; Martin 'The South African War' p.348; angloboerwar.com Smuts raid,Sep 3-13: Smuts moved from eastern EC toward the Stormberg before pushing further west to Elands River Poort (Sep 17)
788,Boer,Malan commando,Commandant H.P. Malan,Malan commando,1901-03-01,1901-03-19,raid,Oudtshoorn district,Jansenville district,Willowmore,"Malan's commando moved from the Oudtshoorn area through the Klein Karoo, crossing the Swartberg and Kouga mountains to reach the Jansenville/Willowmore district in March 1901. This 240km movement in 19 days is documented in British column pursuit records though exact route is uncertain.",medium,Nasson 'Abraham Esau's War'; angloboerwar.com Cape rebels 1901; NAUK WO105 Cape Colony operations,Malan's movements between Oudtshoorn and the central EC are poorly documented; British reports note his presence in this corridor
790,Boer,OFS commando,Various OFS commanders,OFS commando,1900-10-02,1900-11-15,movement,Philippolis district,Dewetsdorp,Springfontein,"OFS commando elements moved from the Philippolis/southern OFS district northward to Dewetsdorp in October-November 1900. The 0-day jump in the dataset (Oct 1 Philippolis, Nov 16 Dewetsdorp) reflects different OFS commandos being tracked under the same label rather than a single unit teleporting.",low,angloboerwar.com; Dewetsdorp (1900) Wikipedia,NOTE: 'OFS commando' label covers many distinct commandos operating simultaneously in different areas
791,British,EC columns / colonial mounted troops,Various column commanders,EC columns / colonial mounted troops,1901-10-09,1901-10-20,advance,Tarkastad,Graaff-Reinet,Somerset East,"Mounted troops in the Eastern Cape columns redeployed from the Tarkastad area toward Graaff-Reinet in October 1901, part of ongoing pursuit operations against Scheepers (captured Oct 11 near Graaff-Reinet) and the remaining EC commandos.",medium,angloboerwar.com; Scheepers Wikipedia (captured Oct 11 1901 near Graaff-Reinet),Oct 11 1901: Scheepers captured near Graaff-Reinet by Scobell's column; mounted troops in this area at this date is consistent
